"","V1","V2"
"30","NAT8","0"
"31","CUX2","0"
"32","WASF2","0"
"33","SPMIP6","0"
"34","DLL3","0"
"35","CENPA","0"
"7","DYNLT1","103"
"6","ZFP91","111"
"16","POLR2G","112"
"2","IL34","13"
"11","SYNC","142"
"12","PROK1","144"
"14","PFN3","148"
"1","RELB","15"
"3","ICAM4","15"
"13","CHCHD2","150"
"15","LINGO1","152"
"18","IFITM5","177"
"17","FUT5","200"
"5","SYNGAP1","21"
"19","MYL9","210"
"21","ANKRD20A21P","224"
"22","PPT1","238"
"20","AIMP2","264"
"24","MRPL48","339"
"23","CDC26","348"
"25","CLNS1A","383"
"26","LDHAL6A","399"
"4","PCDHA13","41"
"27","TYK2","489"
"28","CELF1","515"
"8","TMEM258","67"
"29","SS18L2","719"
"9","LOC391322","83"
"10","NXNL1","98"
"110","RELB","0"
"210","NFKB2","0"
"310","PCDHA13","0"
"410","NUTM1","0"
"51","IGHG1","0"
"61","SYNGAP1","0"
"71","CD37","0"
"81","ICAM4","0"
"91","ELANE","0"
"101","CIBAR2","0"
"111","NXNL1","0"
"121","MYL9","0"
"131","CACNG2","0"
"141","UNC13D","0"
"151","PDIA2","0"
"161","HCN2","0"
"171","EVPLL","0"
"181","LINGO1","0"
"191","CCDC166","0"
"201","DNAJB13","0"
"211","PFN3","0"
"221","LOC391322","0"
"231","LOC339059","0"
"241","TMEM190","0"
"251","DKKL1","0"
"261","SPANXN2","0"
"271","GARIN5B","0"
"281","RAX","0"
"291","ABHD1","0"
"301","DBH","0"
"311","OR10H2","0"
"321","MED11","0"
"331","ABCB11","0"
"341","COX6A2","0"
"351","SYNDIG1L","0"
"36","PCDHA6","0"
"37","GOLGA2P10","0"
"38","GABRD","0"
"39","RAD21L1","0"
"40","PRAM1","0"
"41","OR9G1","0"
"42","HCST","0"
"43","LDHAL6A","0"
"44","TREML2","0"
"45","PROC","0"
"46","DLL3","0"
"47","SLC34A1","0"
"48","TARP","0"
"49","SPMIP6","0"
"50","MT1X","0"
