"","x"
"GSM4304757_2-4_PrimeView_.CEL.gz","NonCanonical"
"GSM4304758_3-7_PrimeView_.CEL.gz","NonCanonical"
"GSM4304759_3-8_PrimeView_.CEL.gz","NonCanonical"
"GSM4304760_3-6_PrimeView_.CEL.gz","NonCanonical"
"GSM4304761_4-5_PrimeView_.CEL.gz","Atypical"
"GSM4304762_4-6_PrimeView_.CEL.gz","NonCanonical"
"GSM4304763_4-7_PrimeView_.CEL.gz","Canonical"
"GSM4304764_4-8_PrimeView_.CEL.gz","Canonical"
"GSM4304765_5-1_PrimeView_.CEL.gz","Canonical"
"GSM4304766_6-5_PrimeView_.CEL.gz","Atypical"
"GSM4304767_6-8_PrimeView_.CEL.gz","NonCanonical"
"GSM4304768_3-1_PrimeView_.CEL.gz","NonCanonical"
"GSM4304769_3-2_PrimeView_.CEL.gz","NonCanonical"
"GSM4304770_3-3_PrimeView_.CEL.gz","NonCanonical"
"GSM4304771_3-5_PrimeView_.CEL.gz","Canonical"
"GSM4304772_4-1_PrimeView_.CEL.gz","Canonical"
"GSM4304773_4-2_PrimeView_.CEL.gz","Canonical"
"GSM4304774_4-3_PrimeView_.CEL.gz","NonCanonical"
"GSM4304775_4-4_PrimeView_.CEL.gz","Canonical"
"GSM4304776_5-2_PrimeView_.CEL.gz","Atypical"
"GSM4304777_5-3_PrimeView_.CEL.gz","Canonical"
"GSM4304778_5-4_PrimeView_.CEL.gz","Canonical"
"GSM4304779_5-5_PrimeView_.CEL.gz","Atypical"
"GSM4304780_5-6_PrimeView_.CEL.gz","NonCanonical"
"GSM4304781_5-7_PrimeView_.CEL.gz","Atypical"
"GSM4304782_5-8_PrimeView_.CEL.gz","Atypical"
"GSM4304783_6-1_PrimeView_.CEL.gz","Canonical"
"GSM4304784_6-2_PrimeView_.CEL.gz","Atypical"
"GSM4304785_6-4_PrimeView_.CEL.gz","Canonical"
"GSM4304786_6-6_PrimeView_.CEL.gz","Atypical"
"GSM4304787_6-7_PrimeView_.CEL.gz","NonCanonical"
